store_nbr,store_name,latitude,longitude
884,SHELBYVILLE IN,39.527051,-85.743071
"1,391",DAYTONA BEACH FL,29.172605,-81.029922
"1,845","COOPER CITY (DAVIE), FL",26.062113,-80.310617
286,ENNIS TX,32.333521,-96.620795
"2,187","WENATCHEE, WA",47.454164,-120.339349
"4,309","ORANGEVALE, CA",38.679381,-121.222549
"1,132",ASHEBORO NC,35.692223,-79.789581
"5,489","PEMBROKE,NC",34.670137,-79.183835
"1,128",MARKSVILLE LA,31.095695,-92.062482
"3,302","HOUSTON (W TOLLWAY), TX",29.679267,-95.561318
"1,805",LAQUINTA CA,33.703676,-116.281128
"3,114",SAUGUS MA,42.472131,-71.023538
"3,773","FORT WORTH (W), TX",32.765568,-97.484281
"1,978","PLYMOUTH, IN",41.364504,-86.330481
"5,721","FORT MILL, SC",35.081004,-80.933195
"1,082",JACKSONVILLE FL,30.177293,-81.625307
"2,732","VILLA RICA, GA",33.720106,-84.934862
"1,362",DESTIN FL,30.389579,-86.449673
"3,481","BALTIMORE, MD",39.336616,-76.400912
532,GONZALES LA,30.235342,-90.908933
"5,881","SPRINGFIELD, PA",39.938993,-75.356285
"2,103","WALPOLE, MA",42.141974,-71.214598
"3,004",CHICAGO CICERO IL,41.831043,-87.747288
"4,021",LAGRANGE TX FORMER 846,29.9036,-96.9091
"1,077","TALLAHASSEE, FL",30.425481,-84.214308
759,WAUCHULA FL,27.568256,-81.813278
"3,712","CITRUS HEIGHTS, CA",38.689487,-121.295274
"4,356","LAS VEGAS (RAINBOW), NV",36.065017,-115.248991
"1,318",KNOXVILLE (NW) TN,36.005361,-84.026853
"2,542","OTTAWA, OH",41.034183,-84.034721
"1,174",THOMASVILLE AL,31.939592,-87.739498
157,SEARCY AR,35.247218,-91.687296
"1,544",CLARKSBURG WV,39.263414,-80.285714
83,MAGNOLIA AR,33.276654,-93.212118
615,CARTERSVILLE GA,34.202982,-84.787472
"2,914","MASSILLON, OH",40.765473,-81.522918
"2,523","BREA, CA",33.913511,-117.865351
"1,733",OWOSSO MI,43.000049,-84.138829
"1,300",NEW BERN NC,35.100925,-77.086836
"2,437","WARRENTON, VA",38.697243,-77.789772
"1,617",CASPER WY,42.851334,-106.266938
"2,603","GIBSONIA, PA",40.623145,-79.946554
"1,910","CRESCENT CITY, CA",41.774813,-124.189855
"2,633","PISCATAWAY, NJ",40.554692,-74.441268
706,ZEPHYRHILLS FL /UNATILLA,28.269569,-82.191211
159,COLUMBIA MO,38.955108,-92.296805
"2,938","LAFAYETTE (S), LA",30.178073,-92.006117
"5,064",KALAMAZOO MI 11-11-02,42.331839,-85.510398
"2,515","PHOENIX (E), AZ",33.478722,-112.000982
"5,472",SALINE MI,42.188782,-83.734855
"3,060",YAZOO CITY MS,32.876707,-90.396381
"1,890","SALISBURY, MD",38.417487,-75.569152
"1,231",THORNTON CO,39.876315,-104.986152
"5,032",BUENA PARK CA,33.844672,-117.986787
"3,927",OSCEOLA AR FORMER 0074,35.7,-90.011
"5,091",HOUSTON ROSEHILL TX,29.975942,-95.697861
"1,295",MADILL OK,34.069993,-96.765551
"1,327",MADISON IN,38.783942,-85.377601
"7,425",OKLAHOMA CITY 24 HOUR AUTOMATE,35.564126,-97.653527
"3,269","MEXICO, ME",44.538526,-70.516879
"2,844","HALFMOON, NY",42.846925,-73.747841
401,PLAQUEMINE LA,30.263706,-91.254862
"3,485","BLAIRSVILLE, GA",34.864003,-83.998089
"3,462",SUWANEE GA,34.036489,-84.050787
"4,236","PORT ORANGE (N), FL",29.144805,-81.014364
"3,523","SANTA CLARITA (E), CA",34.413878,-118.506153
"1,522",ELKINS WV,38.892796,-79.843647
"2,053","WILLOWS, CA",39.525844,-122.217699
"1,321","SMITHFIELD, NC",35.523207,-78.309291
"4,483","WHITE HOUSE, TN",36.473151,-86.677799
"1,591",HARRISBURG (E) PA,40.261628,-76.772957
978,ARKANSAS CITY KS,37.089852,-97.042682
"1,792",ST MARYS PA,41.390995,-78.563219
"2,831","JEROME, ID",42.694065,-114.515193
"3,298","HOUSTON, TX",29.534834,-95.018293
554,LAREDO TX,27.552436,-99.506529
"1,287",BURLINGTON NC,36.072034,-79.499039
674,"GALLATIN, TN",36.376902,-86.476875
"2,532","BELOIT, WI",42.526467,-88.986166
"2,265","SIMPSONVILLE, SC",34.712012,-82.252053
"1,834",GRANTS PASS OR,42.434355,-123.301989
"4,219","BUDA, TX",30.086635,-97.825017
352,CHESTER IL,37.925334,-89.804487
"3,591","MONTGOMERY LAKE, TX",30.384402,-95.650434
755,AMARILLO TX,35.159756,-101.923552
526,"LOUISVILLE (NE), KY",38.300128,-85.545796
380,WALDRON AR,34.89971,-94.105265
